task_id,task_type,baseline_mean_ids,intent_mean_ids,baseline_max_ids,intent_max_ids,delta_mean,delta_max,winner
planning_4_run0,planning,0.5984,0.5591,0.811,0.7708,-0.0393,-0.0402,intent
planning_5_run0,planning,0.7606,0.5041,0.9792,0.6138,-0.2565,-0.3654,intent
planning_6_run0,planning,0.6805,0.3544,0.9322,0.8564,-0.3261,-0.0758,intent
planning_7_run0,planning,0.6779,0.4254,0.8967,0.5853,-0.2525,-0.3114,intent
summarization_0_run0,summarization,0.5993,0.6801,0.8441,0.9135,0.0809,0.0694,baseline
summarization_1_run0,summarization,0.7605,0.7226,1.0,0.8774,-0.0379,-0.1226,intent
summarization_2_run0,summarization,0.5898,0.4074,0.8345,0.6351,-0.1824,-0.1994,intent
summarization_3_run0,summarization,0.7412,0.6505,0.935,0.8739,-0.0907,-0.0611,intent
